name,price,beds,baths,square feet,beat
Creekside Real Estate,437000,3,2.5,2252,1A
Creekside Real Estate,394900,3,2.5,1697,1A
Westlake Real Estate,418000,4,2.5,2002,1A
Westlake Real Estate,225000,1,1.0,846,1A
Westlake Real Estate,535000,4,3.0,2350,1A
Westlake Real Estate,610000,3,2.5,2487,1A
Westlake Real Estate,240000,1,1.0,1125,1A
Westlake Real Estate,419000,4,3.0,2187,1A
Natomas Park Real Estate,515000,5,3.0,2493,1A
Natomas Park Real Estate,499990,5,3.5,2724,1A
Natomas Park Real Estate,399990,3,2.5,1776,1A
Natomas Park Real Estate,650000,4,3.0,3989,1A
Natomas Park Real Estate,609000,4,3.5,2935,1A
Natomas Park Real Estate,489000,4,3.0,2632,1A
Natomas Park Real Estate,480000,3,2.0,2102,1A
Natomas Park Real Estate,479900,4,2.5,2306,1A
Natomas Park Real Estate,459000,4,3.0,2265,1A
Natomas Park Real Estate,435000,3,2.5,1906,1A
Natomas Park Real Estate,479900,4,2.0,2013,1A
Natomas Park Real Estate,579995,4,2.0,3052,1A
Regency Park Real Estate,429900,3,2.0,1557,1A
Regency Park Real Estate,225000,1,1.0,763,1A
Regency Park Real Estate,284950,3,3.0,1334,1A
Regency Park Real Estate,218500,1,1.0,763,1A
Regency Park Real Estate,389000,3,2.0,1492,1A
Regency Park Real Estate,447900,5,2.0,1934,1A
South Natomas Real Estate,650000,5,4.0,3802,1B
South Natomas Real Estate,670000,4,2.5,2930,1B
South Natomas Real Estate,460000,4,2.5,2063,1B
South Natomas Real Estate,187800,2,1.0,956,1B
South Natomas Real Estate,369900,3,2.5,1537,1B
South Natomas Real Estate,415000,3,2.5,1763,1B
South Natomas Real Estate,339500,3,2.5,1618,1B
South Natomas Real Estate,385000,4,3.0,2320,1B
South Natomas Real Estate,349999,3,2.0,1260,1B
South Natomas Real Estate,335000,3,2.0,1511,1B
South Natomas Real Estate,369000,3,2.5,1552,1B
South Natomas Real Estate,420000,3,3.0,1985,1B
South Natomas Real Estate,365000,3,2.0,1336,1B
South Natomas Real Estate,339000,3,2.5,1285,1B
South Natomas Real Estate,799900,5,3.0,3446,1B
South Natomas Real Estate,410000,4,3.0,1920,1B
South Natomas Real Estate,62000,0,0.0,1058,1B
South Natomas Real Estate,499888,4,3.0,2258,1B
South Natomas Real Estate,495000,3,2.0,2367,1B
South Natomas Real Estate,355000,3,2.5,1359,1B
Northgate Real Estate,385000,4,2.0,1390,1C
Gardenland Real Estate,139000,0,0.0,0,1C
Gardenland Real Estate,269000,2,1.0,768,1C
Gardenland Real Estate,199000,2,1.0,714,1C
Gardenland Real Estate,639000,3,3.0,1900,1C
Gardenland Real Estate,649000,3,2.0,1148,1C
Gardenland Real Estate,875000,0,0.0,0,1C
River Gardens Real Estate,165000,3,1.5,1054,1C
River Gardens Real Estate,179900,4,1.5,1276,1C
River Gardens Real Estate,169000,3,1.5,1052,1C
River Gardens Real Estate,545000,3,2.5,1859,1C
Del Paso Heights Real Estate,199000,2,1.0,771,2A
Del Paso Heights Real Estate,190000,2,1.0,827,2A
Del Paso Heights Real Estate,382000,4,3.0,1804,2A
Del Paso Heights Real Estate,265000,3,2.0,1113,2A
Del Paso Heights Real Estate,219000,3,1.0,1012,2A
Del Paso Heights Real Estate,445000,7,3.0,2428,2A
Del Paso Heights Real Estate,219000,3,2.0,1000,2A
Robla Real Estate,549000,4,3.0,2145,2A
Robla Real Estate,389500,4,3.0,1855,2A
Robla Real Estate,340000,3,2.5,1521,2A
Robla Real Estate,159000,0,0.0,0,2A
Robla Real Estate,287900,2,2.5,1181,2A
Robla Real Estate,309000,2,1.5,1131,2A
Robla Real Estate,279900,3,2.0,1564,2A
Robla Real Estate,359000,3,2.0,1209,2A
Robla Real Estate,150000,0,0.0,0,2A
Robla Real Estate,443000,6,3.0,2207,2A
Robla Real Estate,3500000,0,0.0,0,2A
Robla Real Estate,319900,3,2.5,1670,2A
Robla Real Estate,1285000,0,0.0,0,2A
Robla Real Estate,289900,2,2.5,1181,2A
Robla Real Estate,299900,3,2.5,1396,2A
Robla Real Estate,382900,3,2.5,2136,2A
Robla Real Estate,346900,3,2.5,1628,2A
Robla Real Estate,329900,3,2.5,1408,2A
Robla Real Estate,315900,3,2.5,1317,2A
Glenwood Meadows Real Estate,94777,3,2.0,1220,2A
Glenwood Meadows Real Estate,349900,4,2.5,1865,2A
East del Paso Heights Real Estate,239900,3,1.0,1014,2A
East del Paso Heights Real Estate,385500,4,2.0,1780,2A
East del Paso Heights Real Estate,200000,2,1.0,900,2A
East del Paso Heights Real Estate,270000,3,1.0,1058,2A
East del Paso Heights Real Estate,275000,4,2.0,1352,2A
East del Paso Heights Real Estate,349000,4,3.0,1808,2A
East del Paso Heights Real Estate,165000,4,2.0,1560,2A
East del Paso Heights Real Estate,349990,3,2.5,1882,2A
East del Paso Heights Real Estate,125000,4,2.0,1894,2A
East del Paso Heights Real Estate,149995,3,2.0,1710,2A
East del Paso Heights Real Estate,429000,0,0.0,0,2A
East del Paso Heights Real Estate,249000,2,2.0,1200,2A
East del Paso Heights Real Estate,90000,0,0.0,0,2A
East del Paso Heights Real Estate,99000,0,0.0,0,2A
Hagginwood Real Estate,289900,4,2.0,1680,2B
Hagginwood Real Estate,199000,0,0.0,0,2B
Hagginwood Real Estate,195000,0,0.0,0,2B
Hagginwood Real Estate,299000,3,2.0,1994,2B
Hagginwood Real Estate,299900,2,2.0,888,2B
Hagginwood Real Estate,270000,3,2.0,1796,2B
Hagginwood Real Estate,319900,5,2.0,1978,2B
Hagginwood Real Estate,59000,0,0.0,0,2B
Hagginwood Real Estate,74500,0,0.0,0,2B
South Hagginwood Real Estate,179000,2,1.0,811,2B
South Hagginwood Real Estate,170000,0,0.0,0,2B
South Hagginwood Real Estate,325000,2,1.0,1083,2B
South Hagginwood Real Estate,99900,0,0.0,0,2B
South Hagginwood Real Estate,219900,2,1.0,768,2B
South Hagginwood Real Estate,55000,0,0.0,0,2B
South Hagginwood Real Estate,229000,2,1.0,900,2B
South Hagginwood Real Estate,50000,0,0.0,0,2B
South Hagginwood Real Estate,50000,0,0.0,0,2B
South Hagginwood Real Estate,80000,0,0.0,0,2B
Johnson Heights Real Estate,199000,0,0.0,0,2B
Noralto Real Estate,279000,3,1.0,1332,2B
Ben Ali Real Estate,259500,3,1.0,972,2C
Ben Ali Real Estate,309950,4,2.0,1800,2C
Ben Ali Real Estate,260000,2,2.0,1056,2C
Ben Ali Real Estate,260000,3,2.0,1056,2C
Ben Ali Real Estate,960000,4,4.0,2400,2C
Ben Ali Real Estate,58000,0,0.0,0,2C
Old North Sacramento Real Estate,299000,3,1.0,1048,2C
Old North Sacramento Real Estate,255000,3,1.0,1191,2C
Old North Sacramento Real Estate,350000,4,2.0,1628,2C
Old North Sacramento Real Estate,155000,1,1.0,336,2C
Old North Sacramento Real Estate,264000,3,1.0,1195,2C
Old North Sacramento Real Estate,299000,3,2.0,1100,2C
Old North Sacramento Real Estate,120000,0,0.0,0,2C
Old North Sacramento Real Estate,130000,0,0.0,0,2C
Woodlake Real Estate,529900,2,2.5,1718,2C
Woodlake Real Estate,575000,4,4.0,2497,2C
Woodlake Real Estate,414900,2,2.0,1038,2C
Swanston Estates Real Estate,329900,4,2.0,1400,2C
Swanston Estates Real Estate,419000,5,4.0,2711,2C
Swanston Estates Real Estate,323000,3,2.0,1518,2C
Swanston Estates Real Estate,279900,4,2.0,1121,2C
Alkali Flat Real Estate,1399900,6,5.0,5530,3A
Alkali Flat Real Estate,675000,3,3.5,1790,3A
Alkali Flat Real Estate,799000,4,4.0,2200,3A
Mansion Flats Real Estate,784500,6,3.0,2556,3A
Mansion Flats Real Estate,549990,2,2.5,1521,3A
Mansion Flats Real Estate,599990,2,2.5,1521,3A
Mansion Flats Real Estate,629990,2,4.0,1828,3A
Mansion Flats Real Estate,559990,2,2.5,1521,3A
Mansion Flats Real Estate,569900,2,2.5,1618,3A
Mansion Flats Real Estate,1650000,8,7.0,3700,3A
Mansion Flats Real Estate,599990,2,2.5,0,3A
Mansion Flats Real Estate,650000,0,0.0,0,3A
Mansion Flats Real Estate,589990,2,4.0,1618,3A
Mansion Flats Real Estate,614900,3,2.5,1704,3A
