Beat,Description,Grid,Occurence_Date,Offense_Category,Offense_Code,Offense_Ext,Police_District,Record_ID,Day_of_the_Week,Month,Year,Hour,Encoded_Beat
3B,487(A) PC GRAND THEFT >$950,748,"Wed 01-01-2020, 01:15:00 AM",LARCENY,2303,1,3,1429889,3,01,2020,01,7
3B,484 PC PETTY THEFT,748,"Wed 01-01-2020, 01:30:00 AM",LARCENY,2399,2,3,1429894,3,01,2020,01,7
3A,459 PC BURG VEHICLE,725,"Wed 01-01-2020, 10:40:00 AM",BURGLARY,2299,01,3,1429896,3,01,2020,10,6
4A,459.5 BURGLARY SHOPLIFT < $950,965,"Wed 01-01-2020, 02:30:00 PM",BURGLARY,2205,3,4,1429900,3,01,2020,14,9
4A,459.5 BURGLARY SHOPLIFT < $950,965,"Wed 01-01-2020, 02:10:00 PM",BURGLARY,2205,3,4,1429902,3,01,2020,14,9
3M,484 PC PETTY THEFT,745,"Wed 01-01-2020, 01:00:00 AM",LARCENY,2399,2,3,1429903,3,01,2020,01,8
4A,459.5 BURGLARY SHOPLIFT < $950,965,"Wed 01-01-2020, 12:10:00 PM",BURGLARY,2205,3,4,1429906,3,01,2020,12,9
2A,484 PETTY THEFT CLOUT UNLOCKED,505,"Wed 01-01-2020, 01:00:00 AM",LARCENY,2305,0,2,1429961,3,01,2020,01,3
6A,484 PETTY THEFT/LICENSE PLATE,1061,"Thu 01-02-2020, 11:00:00 AM",LARCENY,2399,4,6,1429962,4,02,2020,11,15
4A,484G PC THEFT BY CREDIT CARD,908,"Wed 01-01-2020, 05:30:00 PM",THEFT,2605,13,4,1429968,3,01,2020,17,9
4A,484 PETTY THEFT/LICENSE PLATE,928,"Wed 01-01-2020, 08:00:00 PM",LARCENY,2399,4,4,1429969,3,01,2020,20,9
6C,459 PC BURG BUSINESS-FORCE,1111,"Thu 01-02-2020, 04:10:00 AM",BURGLARY,2203,0,6,1429983,4,02,2020,04,17
6A,484 PETTY THEFT/LICENSE PLATE,1034,"Thu 01-02-2020, 12:00:00 PM",LARCENY,2399,4,6,1429998,4,02,2020,12,15
2B,496(A) REC STOLEN PROP-FEL,542,"Wed 01-01-2020, 04:24:00 AM",STOLEN PROP,2803,0,2,1430034,3,01,2020,04,4
3B,602(L)(1)TRESPASS REFUSE TO LV,748,"Fri 01-03-2020, 12:55:00 AM",TRESPASS,5707,6,3,1430064,5,03,2020,00,7
3M,485 PC PETTY THFT LOST PROP-M,741,"Thu 01-02-2020, 12:06:00 PM",THEFT,2399,3,3,1430080,4,02,2020,12,8
4A,496(A) REC STOLEN PROP-MISD,907,"Thu 01-02-2020, 11:08:00 AM",STOLEN PROP,2803,05,4,1430091,4,02,2020,11,9
2C,211 PC ROBBERY-UNSPECIFIED,626,"Thu 01-02-2020, 11:56:00 AM",ROBBERY,1299,0,2,1430095,4,02,2020,11,5
