hotness_score,supply_score,demand_score,median_listing_price
96.59,96.08,97.11,416800
96.22,97.61,94.83,549750
96.22,96.38,96.05,309892
95.62,95.2,96.04,352550
93.32,91.99,94.66,342550
91.53,93.29,89.77,280000
91.4,96.08,86.72,714550
90.6,91.99,89.22,248050
89.19,85.32,93.06,319500
88.44,93.6,83.28,605000
88.31,88.42,88.21,349950
87.36,90.45,84.27,415050
87.32,89.42,85.22,446544
87.01,78.59,95.43,289500
86.99,90.03,83.94,398800
86.38,89.01,83.75,376040
84.86,79.41,90.31,304850
84.39,94.22,74.56,412000
83.54,88.42,78.67,667300
82.53,77.16,87.89,268550
81.63,80.03,83.23,337050
81.38,79.41,83.34,744525
97.12,96.34,97.89,345000
95.99,96.1,95.89,346050
95.76,92.93,98.59,424550
95.44,93.7,97.18,312050
93.75,92.52,94.98,307549
93.71,90.5,96.93,558050
93.71,92.93,94.5,264950
91.36,94.94,87.78,322550
91.2,89.48,92.92,599500
90.76,93.7,87.81,734050
89.52,85.29,93.75,304900
89.44,94.48,84.4,312500
88.97,84.65,93.3,325050
88.82,93.35,84.29,419050
88.5,84.65,92.36,264300
88.16,92.52,83.79,427550
87.51,84.65,90.38,277550
86.84,87.58,86.11,367550
86.36,86.36,86.37,393050
83.41,78.07,88.74,917000
79.19,74.01,84.36,464500
78.56,88.41,68.71,678550
98.29,99.05,97.54,335050
97.41,99.05,95.78,340050
96.97,97.23,96.7,519950
96.64,97.23,96.04,300048
96.1,97.23,94.97,319050
95.94,96.01,95.87,434950
95.41,96.31,94.5,325050
93.29,89.04,97.53,256950
92.83,95.32,90.35,399050
91.97,92.2,91.74,315050
91.82,93.75,89.88,260050
91.72,97.57,85.88,678050
91.1,98.03,84.17,422135
90.85,89.04,92.65,749050
89.29,91.83,86.75,489050
88.62,85.9,91.33,279950
88.52,89.04,88,969050
87.37,95.32,79.43,335050
84.71,82.34,87.08,305050
84.55,79.46,89.64,588050
81.95,78.56,85.34,315050
77.82,63.93,91.71,395050
99.53,99.97,99.1,335050
98.49,98.24,98.74,302549.5
98.35,99.19,97.52,256950
97.79,97.76,97.82,345494
97.6,98.59,96.61,500050
97.35,99.02,95.68,314550
96.8,96.71,96.88,320050
96.34,97.63,95.04,264550
95.36,97.99,92.72,470494
95.24,99.19,91.29,346649
94.83,93.91,95.76,929750
94.04,96.58,91.51,307500
93.64,99.54,87.74,421231
93.45,94.9,92,311050
92.91,95.11,90.71,392550
91.1,94.19,88,337050
90.7,91.29,90.1,615050
90.29,93.91,86.67,320000
89.82,84.49,95.15,442050
89.27,82.89,95.64,750050
88.07,80.57,95.58,725050
99.54,99.81,99.27,264900
96.41,97.39,95.43,322550
96.23,94.56,97.9,347000
96.09,97.16,95.01,635050
95.91,98.32,93.51,399050
94.59,95.85,93.34,314500
94.21,92.5,95.93,678050
93.72,91.28,96.16,342450
93.56,89.34,97.78,515050
93.3,90.76,95.85,442500
92.84,88.43,97.25,300000
92.16,87.92,96.41,691550
91.45,96.26,86.64,310050
90.7,87.44,93.96,452500
90.48,89.34,91.61,349050
89.55,86.91,92.19,337525
89.51,90.22,88.81,317550
89.24,88.43,90.04,310050
88.7,84.74,92.66,384050
88.69,87.92,89.46,432188.5
88.63,92.98,84.28,269050
82.56,71.86,93.25,849500
96.23,97.33,95.13,350050
96.21,96.98,95.44,420050
95.82,92.93,98.71,279950
95.43,95.35,95.51,599050
93.74,92.93,94.56,300049
